country,major_area,region,most_speed
Afghanistan,Asia,Southern Asia,Mobile
Albania,Europe,Southern Europe,Fixed broadband
Algeria,Africa,Northern Africa,Mobile
Argentina,Latin America and the Caribbean,South America,Fixed broadband
Armenia,Asia,Western Asia,Fixed broadband
Australia,Oceania,Australia and New Zealand,Mobile
Austria,Europe,Western Europe,Fixed broadband
Azerbaijan,Asia,Western Asia,Mobile
Bahrain,Asia,Western Asia,Fixed broadband
Bangladesh,Asia,Southern Asia,Fixed broadband
Belarus,Europe,Eastern Europe,Fixed broadband
Belgium,Europe,Western Europe,Mobile
Bolivia,Latin America and the Caribbean,South America,Fixed broadband
Bosnia and Herzegovina,Europe,Southern Europe,Fixed broadband
Brazil,Latin America and the Caribbean,South America,Mobile
Brunei,Asia,South-Eastern Asia,Fixed broadband
Bulgaria,Europe,Eastern Europe,Fixed broadband
Cambodia,Asia,South-Eastern Asia,Fixed broadband
Canada,Northern America,Northern America,Mobile
Chile,Latin America and the Caribbean,South America,Mobile
China,Asia,Eastern Asia,Fixed broadband
Colombia,Latin America and the Caribbean,South America,Mobile
Costa Rica,Latin America and the Caribbean,Central America,Fixed broadband
Croatia,Europe,Southern Europe,Mobile
Cyprus,Asia,Western Asia,Fixed broadband
Czechia,Europe,Eastern Europe,Mobile
Denmark,Europe,Northern Europe,Fixed broadband
Dominican Republic,Latin America and the Caribbean,Caribbean,Fixed broadband
Ecuador,Latin America and the Caribbean,South America,Fixed broadband
Egypt,Africa,Northern Africa,Fixed broadband
El Salvador,Latin America and the Caribbean,Central America,Fixed broadband
Estonia,Europe,Northern Europe,Mobile
Finland,Europe,Northern Europe,Mobile
France,Europe,Western Europe,Fixed broadband
Georgia,Asia,Western Asia,Mobile
Germany,Europe,Western Europe,Fixed broadband
Greece,Europe,Southern Europe,Mobile
Guatemala,Latin America and the Caribbean,Central America,Fixed broadband
Honduras,Latin America and the Caribbean,Central America,Fixed broadband
Hong Kong (SAR),Asia,Eastern Asia,Mobile
Hungary,Europe,Eastern Europe,Mobile
India,Asia,Southern Asia,Mobile
Indonesia,Asia,South-Eastern Asia,Fixed broadband
Iran,Asia,Southern Asia,Mobile
Iraq,Asia,Western Asia,Fixed broadband
Ireland,Europe,Northern Europe,Mobile
Israel,Asia,Western Asia,Mobile
Italy,Europe,Southern Europe,Fixed broadband
Japan,Asia,Eastern Asia,Mobile
Jordan,Asia,Western Asia,Mobile
Kazakhstan,Asia,Central Asia,Fixed broadband
Kenya,Africa,Eastern Africa,Mobile
Kosovo,Europe,Southern Europe,Fixed broadband
Kuwait,Asia,Western Asia,Mobile
Kyrgyzstan,Asia,Central Asia,Fixed broadband
Laos,Asia,South-Eastern Asia,Fixed broadband
Latvia,Europe,Northern Europe,Fixed broadband
Lebanon,Asia,Western Asia,Mobile
Libya,Africa,Northern Africa,Mobile
Lithuania,Europe,Northern Europe,Mobile
Luxembourg,Europe,Western Europe,Fixed broadband
Malaysia,Asia,South-Eastern Asia,Fixed broadband
Mexico,Latin America and the Caribbean,Central America,Fixed broadband
Moldova,Europe,Eastern Europe,Mobile
Montenegro,Europe,Southern Europe,Fixed broadband
Morocco,Africa,Northern Africa,Mobile
Myanmar (Burma),Asia,South-Eastern Asia,Mobile
Namibia,Africa,Southern Africa,Mobile
Netherlands,Europe,Western Europe,Fixed broadband
New Zealand,Oceania,Australia and New Zealand,Mobile
Nicaragua,Latin America and the Caribbean,Central America,Fixed broadband
Nigeria,Africa,Western Africa,Fixed broadband
North Macedonia,Europe,Southern Europe,Mobile
Norway,Europe,Northern Europe,Fixed broadband
Oman,Asia,Western Asia,Mobile
Pakistan,Asia,Southern Asia,Mobile
Panama,Latin America and the Caribbean,Central America,Mobile
Paraguay,Latin America and the Caribbean,South America,Fixed broadband
Peru,Latin America and the Caribbean,South America,Mobile
Philippines,Asia,South-Eastern Asia,Fixed broadband
Poland,Europe,Eastern Europe,Mobile
Portugal,Europe,Southern Europe,Mobile
Qatar,Asia,Western Asia,Mobile
Romania,Europe,Eastern Europe,Mobile
Russia,Europe,Eastern Europe,Fixed broadband
Saudi Arabia,Asia,Western Asia,Mobile
Serbia,Europe,Southern Europe,Fixed broadband
Singapore,Asia,South-Eastern Asia,Fixed broadband
Slovakia,Europe,Eastern Europe,Fixed broadband
Slovenia,Europe,Southern Europe,Fixed broadband
South Africa,Africa,Southern Africa,Mobile
South Korea,Asia,Eastern Asia,Fixed broadband
Spain,Europe,Southern Europe,Mobile
Sri Lanka,Asia,Southern Asia,Fixed broadband
Suriname,Latin America and the Caribbean,South America,Mobile
Sweden,Europe,Northern Europe,Mobile
Switzerland,Europe,Western Europe,Mobile
Syria,Asia,Western Asia,Fixed broadband
Taiwan,Asia,Eastern Asia,Mobile
Tanzania,Africa,Eastern Africa,Mobile
Thailand,Asia,South-Eastern Asia,Mobile
Tunisia,Africa,Northern Africa,Mobile
Turkey,Asia,Western Asia,Mobile
Ukraine,Europe,Eastern Europe,Fixed broadband
United Arab Emirates,Asia,Western Asia,Mobile
United Kingdom,Europe,Northern Europe,Mobile
United States,Northern America,Northern America,Fixed broadband
Uzbekistan,Asia,Central Asia,Fixed broadband
Venezuela,Latin America and the Caribbean,South America,Fixed broadband
Vietnam,Asia,South-Eastern Asia,Mobile
Yemen,Asia,Western Asia,Mobile
