mbps,country,major_area,region
398.51,United Arab Emirates,Asia,Western Asia
344.34,Qatar,Asia,Western Asia
239.83,Kuwait,Asia,Western Asia
141.23,South Korea,Asia,Eastern Asia
133.44,Netherlands,Europe,Western Europe
130.05,Denmark,Europe,Northern Europe
128.77,Norway,Europe,Northern Europe
122.28,Saudi Arabia,Asia,Western Asia
117.64,Bulgaria,Europe,Eastern Europe
114.42,Luxembourg,Europe,Western Europe
114.30,Singapore,Asia,South-Eastern Asia
113.07,Bahrain,Asia,Western Asia
108.37,China,Asia,Eastern Asia
106.94,Malaysia,Asia,South-Eastern Asia
103.73,United States,Northern America,Northern America
103.26,Brunei,Asia,South-Eastern Asia
103.08,France,Europe,Western Europe
97.86,Australia,Oceania,Australia and New Zealand
97.24,Sweden,Europe,Northern Europe
96.38,India,Asia,Southern Asia
94.33,North Macedonia,Europe,Southern Europe
93.66,Switzerland,Europe,Western Europe
93.59,Finland,Europe,Northern Europe
89.71,Lithuania,Europe,Northern Europe
88.60,Estonia,Europe,Northern Europe
85.93,Taiwan,Asia,Eastern Asia
85.41,Czechia,Europe,Eastern Europe
83.64,Portugal,Europe,Southern Europe
83.01,Austria,Europe,Western Europe
82.81,Oman,Asia,Western Asia
81.99,Belgium,Europe,Western Europe
81.42,Latvia,Europe,Northern Europe
78.46,New Zealand,Oceania,Australia and New Zealand
76.24,Croatia,Europe,Southern Europe
75.05,Greece,Europe,Southern Europe
74.87,Canada,Northern America,Northern America
73.59,Cyprus,Asia,Western Asia
73.08,Brazil,Latin America and the Caribbean,South America
69.65,Slovenia,Europe,Southern Europe
63.12,Romania,Europe,Eastern Europe
57.68,Hong Kong (SAR),Asia,Eastern Asia
56.95,Vietnam,Asia,South-Eastern Asia
56.69,Germany,Europe,Western Europe
56.48,Serbia,Europe,Southern Europe
55.14,Azerbaijan,Asia,Western Asia
54.82,Slovakia,Europe,Eastern Europe
54.78,Thailand,Asia,South-Eastern Asia
54.62,United Kingdom,Europe,Northern Europe
54.32,Hungary,Europe,Eastern Europe
53.48,Italy,Europe,Southern Europe
52.62,Poland,Europe,Eastern Europe
51.96,South Africa,Africa,Southern Africa
51.25,Kazakhstan,Asia,Central Asia
50.82,Albania,Europe,Southern Europe
50.02,Suriname,Latin America and the Caribbean,South America
49.71,Moldova,Europe,Eastern Europe
47.43,Japan,Asia,Eastern Asia
46.37,Turkey,Asia,Western Asia
45.86,Kosovo,Europe,Southern Europe
45.74,Spain,Europe,Southern Europe
43.68,Montenegro,Europe,Southern Europe
42.82,Kyrgyzstan,Asia,Central Asia
42.77,Israel,Asia,Western Asia
41.44,Chile,Latin America and the Caribbean,South America
41.12,Ireland,Europe,Northern Europe
40.89,Morocco,Africa,Northern Africa
39.73,Guatemala,Latin America and the Caribbean,Central America
37.40,Costa Rica,Latin America and the Caribbean,Central America
36.90,Georgia,Asia,Western Asia
36.70,Iran,Asia,Southern Asia
36.19,Uzbekistan,Asia,Central Asia
35.45,Lebanon,Asia,Western Asia
34.47,Argentina,Latin America and the Caribbean,South America
33.66,Philippines,Asia,South-Eastern Asia
32.99,Dominican Republic,Latin America and the Caribbean,Caribbean
32.93,Iraq,Asia,Western Asia
32.67,Armenia,Asia,Western Asia
32.63,El Salvador,Latin America and the Caribbean,Central America
32.59,Honduras,Latin America and the Caribbean,Central America
32.55,Mexico,Latin America and the Caribbean,Central America
32.16,Myanmar (Burma),Asia,South-Eastern Asia
29.49,Kenya,Africa,Eastern Africa
29.40,Indonesia,Asia,South-Eastern Asia
28.85,Laos,Asia,South-Eastern Asia
28.76,Ecuador,Latin America and the Caribbean,South America
28.70,Cambodia,Asia,South-Eastern Asia
28.67,Jordan,Asia,Western Asia
27.94,Namibia,Africa,Southern Africa
27.76,Bangladesh,Asia,Southern Asia
26.53,Tunisia,Africa,Northern Africa
25.65,Egypt,Africa,Northern Africa
25.44,Russia,Europe,Eastern Europe
24.90,Algeria,Africa,Northern Africa
22.85,Tanzania,Africa,Eastern Africa
21.79,Panama,Latin America and the Caribbean,Central America
21.73,Peru,Latin America and the Caribbean,South America
21.49,Nicaragua,Latin America and the Caribbean,Central America
20.56,Bosnia and Herzegovina,Europe,Southern Europe
20.19,Nigeria,Africa,Western Africa
20.07,Ukraine,Europe,Eastern Europe
19.59,Pakistan,Asia,Southern Asia
19.58,Paraguay,Latin America and the Caribbean,South America
18.96,Sri Lanka,Asia,Southern Asia
18.18,Colombia,Latin America and the Caribbean,South America
15.10,Libya,Africa,Northern Africa
13.67,Venezuela,Latin America and the Caribbean,South America
12.79,Syria,Asia,Western Asia
11.98,Belarus,Europe,Eastern Europe
11.26,Bolivia,Latin America and the Caribbean,South America
8.48,Afghanistan,Asia,Southern Asia
7.91,Yemen,Asia,Western Asia
